date	n_day	regime	inoculant	treatment	sample	shoot_side_area	shoot_height
15/06/25	10	NW	MIX1	NW_MIX1	2	256.9782605	223.0247878
15/06/25	10	NW	MIX1	NW_MIX1	3	375.7818879	185.0155508
15/06/25	10	NW	MIX1	NW_MIX1	4	332.0409074	168.5262495
15/06/25	10	NW	MIX1	NW_MIX1	5	293.7675495	175.7927212
15/06/25	10	NW	MIX1	NW_MIX1	6	52.72350329	32.14016366
15/06/25	10	NW	MIX1	NW_MIX1	7	355.16114	241.470447
15/06/25	10	NW	MIX1	NW_MIX1	8	257.8374583	184.4565914
16/06/25	11	NW	MIX1	NW_MIX1	1	417.8825817	219.1120723
16/06/25	11	NW	MIX1	NW_MIX1	2	347.037815	172.438965
16/06/25	11	NW	MIX1	NW_MIX1	3	19.05857008	13.69450452
16/06/25	11	NW	MIX1	NW_MIX1	4	267.7572878	174.3953228
16/06/25	11	NW	MIX1	NW_MIX1	5	322.8240579	228.3349018
16/06/25	11	NW	MIX1	NW_MIX1	6	430.9267669	239.7935689
16/06/25	11	NW	MIX1	NW_MIX1	7	313.7634263	142.5346388
16/06/25	11	NW	MIX1	NW_MIX1	8	302.7500722	170.0434249
17/06/25	12	NW	MIX1	NW_MIX1	1	356.1765556	207.3739255
17/06/25	12	NW	MIX1	NW_MIX1	2	471.6996095	225.8195847
17/06/25	12	NW	MIX1	NW_MIX1	3	393.9812602	261.8724639
17/06/25	12	NW	MIX1	NW_MIX1	4	60.37817488	28.22744808
17/06/25	12	NW	MIX1	NW_MIX1	5	445.7674567	233.0860565
17/06/25	12	NW	MIX1	NW_MIX1	6	468.2628181	225.2606253
17/06/25	12	NW	MIX1	NW_MIX1	7	577.1466161	272.2132122
17/06/25	12	NW	MIX1	NW_MIX1	8	468.4971448	278.9207246
18/06/25	13	NW	MIX1	NW_MIX1	1	538.7951492	233.6450158
18/06/25	13	NW	MIX1	NW_MIX1	2	485.6811015	305.7507743
18/06/25	13	NW	MIX1	NW_MIX1	3	85.84167425	35.77339955
18/06/25	13	NW	MIX1	NW_MIX1	4	563.7118863	256.2828702
18/06/25	13	NW	MIX1	NW_MIX1	5	447.1734168	252.929114
18/06/25	13	NW	MIX1	NW_MIX1	6	497.0068911	247.3395203
18/06/25	13	NW	MIX1	NW_MIX1	7	691.6542543	287.0256355
18/06/25	13	NW	MIX1	NW_MIX1	8	640.41482	297.0869041
19/06/25	14	NW	MIX1	NW_MIX1	1	607.1013769	298.4843025
19/06/25	14	NW	MIX1	NW_MIX1	2	542.8568117	262.4314233
19/06/25	14	NW	MIX1	NW_MIX1	3	536.3347191	242.4486259
19/06/25	14	NW	MIX1	NW_MIX1	4	542.7787028	259.6366264
19/06/25	14	NW	MIX1	NW_MIX1	5	343.0933159	153.015127
19/06/25	14	NW	MIX1	NW_MIX1	6	618.6224387	311.7595875
19/06/25	14	NW	MIX1	NW_MIX1	7	725.9831131	278.7809848
19/06/25	14	NW	MIX1	NW_MIX1	8	365.0809695	169.9236479
20/06/25	15	NW	MIX1	NW_MIX1	1	728.5216522	291.2178307
20/06/25	15	NW	MIX1	NW_MIX1	2	521.8455193	262.9903826
20/06/25	15	NW	MIX1	NW_MIX1	3	546.9184742	291.2178307
20/06/25	15	NW	MIX1	NW_MIX1	4	625.4960213	231.9681377
20/06/25	15	NW	MIX1	NW_MIX1	5	600.3449575	270.2568544
20/06/25	15	NW	MIX1	NW_MIX1	6	740.2379862	376.1796547
20/06/25	15	NW	MIX1	NW_MIX1	7	760.3119719	270.5363341
20/06/25	15	NW	MIX1	NW_MIX1	8	89.74711894	42.76039165
21/06/25	16	NW	MIX1	NW_MIX1	1	705.2452018	289.5409526
21/06/25	16	NW	MIX1	NW_MIX1	2	527.3131418	259.0776671
21/06/25	16	NW	MIX1	NW_MIX1	3	557.306957	289.8204323
21/06/25	16	NW	MIX1	NW_MIX1	4	593.4713749	267.1825779
21/06/25	16	NW	MIX1	NW_MIX1	5	749.4548357	399.6559481
21/06/25	16	NW	MIX1	NW_MIX1	6	774.7621173	274.7285294
21/06/25	16	NW	MIX1	NW_MIX1	7	623.6995167	232.2476174
21/06/25	16	NW	MIX1	NW_MIX1	8	90.45009898	45.83466818
22/06/25	17	NW	MIX1	NW_MIX1	1	744.5339754	382.6076874
22/06/25	17	NW	MIX1	NW_MIX1	2	584.9575054	231.4091784
22/06/25	17	NW	MIX1	NW_MIX1	3	598.1579085	399.9354278
22/06/25	17	NW	MIX1	NW_MIX1	4	610.5772226	287.8640745
22/06/25	17	NW	MIX1	NW_MIX1	5	769.9974748	369.1926626
22/06/25	17	NW	MIX1	NW_MIX1	6	594.2524638	266.9030982
22/06/25	17	NW	MIX1	NW_MIX1	7	798.9758744	275.8464481
22/06/25	17	NW	MIX1	NW_MIX1	8	92.55903912	47.2320666
23/06/25	18	NW	MIX1	NW_MIX1	1	731.4897901	277.2438465
23/06/25	18	NW	MIX1	NW_MIX1	2	647.4446204	285.0692777
23/06/25	18	NW	MIX1	NW_MIX1	3	766.9512279	285.628237
23/06/25	18	NW	MIX1	NW_MIX1	4	95.13663261	47.2320666
23/06/25	18	NW	MIX1	NW_MIX1	5	854.2769711	392.3894763
23/06/25	18	NW	MIX1	NW_MIX1	6	567.1486777	229.4528206
23/06/25	18	NW	MIX1	NW_MIX1	7	701.2616483	387.9178014
23/06/25	18	NW	MIX1	NW_MIX1	8	639.7899489	405.8045012
24/06/25	19	NW	MIX1	NW_MIX1	1	697.746748	283.9513589
24/06/25	19	NW	MIX1	NW_MIX1	2	836.6243612	389.0357201
24/06/25	19	NW	MIX1	NW_MIX1	3	102.8694131	58.97021332
24/06/25	19	NW	MIX1	NW_MIX1	4	729.6932856	384.8435249
24/06/25	19	NW	MIX1	NW_MIX1	5	516.924659	207.3739255
24/06/25	19	NW	MIX1	NW_MIX1	6	616.0448452	258.7981874
24/06/25	19	NW	MIX1	NW_MIX1	7	633.6974551	395.4637529
24/06/25	19	NW	MIX1	NW_MIX1	8	754.6100227	275.5669684
25/06/25	20	NW	MIX1	NW_MIX1	1	809.9892284	276.4054075
25/06/25	20	NW	MIX1	NW_MIX1	2	721.335634	281.4360418
25/06/25	20	NW	MIX1	NW_MIX1	3	791.867965	337.6114583
25/06/25	20	NW	MIX1	NW_MIX1	4	99.82316624	57.01385554
25/06/25	20	NW	MIX1	NW_MIX1	5	669.9399819	360.5287924
25/06/25	20	NW	MIX1	NW_MIX1	6	476.5423609	193.9589007
25/06/25	20	NW	MIX1	NW_MIX1	7	688.5298986	314.1351648
25/06/25	20	NW	MIX1	NW_MIX1	8	657.5987766	389.8741592
26/06/25	21	NW	MIX1	NW_MIX1	1	830.2194319	274.7285294
26/06/25	21	NW	MIX1	NW_MIX1	2	704.6203307	280.0386434
26/06/25	21	NW	MIX1	NW_MIX1	3	773.4342661	332.8603036
26/06/25	21	NW	MIX1	NW_MIX1	4	92.7933658	46.67310723
26/06/25	21	NW	MIX1	NW_MIX1	5	351.1775864	183.8976321
26/06/25	21	NW	MIX1	NW_MIX1	6	686.030414	380.3718499
26/06/25	21	NW	MIX1	NW_MIX1	7	647.3665116	367.7952641
26/06/25	21	NW	MIX1	NW_MIX1	8	607.0623224	388.7562404
27/06/25	22	NW	MIX1	NW_MIX1	1	75.29697359	41.36299323
27/06/25	22	NW	MIX1	NW_MIX1	2	749.8453802	288.7025136
27/06/25	22	NW	MIX1	NW_MIX1	3	607.9215202	390.7125982
27/06/25	22	NW	MIX1	NW_MIX1	4	867.7898098	271.3747732
27/06/25	22	NW	MIX1	NW_MIX1	5	646.5854226	381.210289
27/06/25	22	NW	MIX1	NW_MIX1	6	1338.942657	335.9345802
27/06/25	22	NW	MIX1	NW_MIX1	7	285.1755711	152.5959075
27/06/25	22	NW	MIX1	NW_MIX1	8	711.02526	351.5854425
28/06/25	23	NW	MIX1	NW_MIX1	1	981.2039235	397.97907
28/06/25	23	NW	MIX1	NW_MIX1	2	583.785872	348.7906456
28/06/25	23	NW	MIX1	NW_MIX1	3	75.14075581	35.49391987
28/06/25	23	NW	MIX1	NW_MIX1	4	199.0214613	136.3860858
28/06/25	23	NW	MIX1	NW_MIX1	5	727.193801	293.4536682
28/06/25	23	NW	MIX1	NW_MIX1	6	438.971983	377.0180937
28/06/25	23	NW	MIX1	NW_MIX1	7	515.44059	388.4767608
28/06/25	23	NW	MIX1	NW_MIX1	8	897.5492983	271.3747732
29/06/25	24	NW	MIX1	NW_MIX1	1	711.9625667	321.960596
29/06/25	24	NW	MIX1	NW_MIX1	2	376.5629769	377.5770531
29/06/25	24	NW	MIX1	NW_MIX1	3	422.2566797	353.2623206
29/06/25	24	NW	MIX1	NW_MIX1	4	79.35863607	49.46790407
29/06/25	24	NW	MIX1	NW_MIX1	5	191.9916609	129.6785734
29/06/25	24	NW	MIX1	NW_MIX1	6	478.651301	420.0579651
29/06/25	24	NW	MIX1	NW_MIX1	7	860.291356	392.3894763
29/06/25	24	NW	MIX1	NW_MIX1	8	1615.291923	289.5409526
06/06/25	1	NW	MIXR	NW_MIXR	1	66.08012413	40.80403386
06/06/25	1	NW	MIXR	NW_MIXR	2	68.9701532	51.70374154
06/06/25	1	NW	MIXR	NW_MIXR	3	105.0564621	62.04448985
06/06/25	1	NW	MIXR	NW_MIXR	4	27.72865729	26.83004966
06/06/25	1	NW	MIXR	NW_MIXR	5	46.24046511	47.79102596
06/06/25	1	NW	MIXR	NW_MIXR	6	40.0698625	27.38900903
06/06/25	1	NW	MIXR	NW_MIXR	7	39.99175361	46.95258691
06/06/25	1	NW	MIXR	NW_MIXR	8	44.05341609	32.41964334
