date	n_day	treatment	sample	tot_length	tot_area	Area_Efficiency
13/06/25	3	WW_MIX1	4	163.2839225	162.4057217	1.00540745
13/06/25	3	WW_MIX1	5	175.7126568	156.1508453	1.125275092
13/06/25	3	WW_MIX1	6	136.9441277	143.3550065	0.955279701
13/06/25	3	WW_MIXR	1	65.22234892	54.74642393	1.191353594
13/06/25	3	WW_MIXR	2	131.8129989	107.2561769	1.228954851
13/06/25	3	WW_MIXR	3	205.0171038	190.7152146	1.074990814
13/06/25	3	WW_MIXR	4	186.7730901	179.6749025	1.039505727
13/06/25	3	WW_MIXR	5	141.8472064	134.3042913	1.056162875
13/06/25	3	WW_MIXR	6	166.2485747	172.1846554	0.965524915
13/06/25	3	NW_NOI	1	283.4663626	269.479844	1.05190191
13/06/25	3	NW_NOI	2	105.7012543	97.19115735	1.087560403
13/06/25	3	NW_NOI	3	98.4036488	88.59557867	1.11070609
13/06/25	3	NW_NOI	4	216.8757127	213.2379714	1.017059538
13/06/25	3	NW_NOI	5	193.6145952	192.5357607	1.005603294
13/06/25	3	NW_NOI	6	80.95781072	90.58517555	0.893720305
13/06/25	3	NW_MIX1	1	157.0125428	153.2509753	1.024545146
13/06/25	3	NW_MIX1	2	160.2052452	167.1521456	0.958439658
13/06/25	3	NW_MIX1	3	261.9156214	244.8244473	1.069809916
13/06/25	3	NW_MIX1	4	147.2063854	149.6358908	0.983763886
13/06/25	3	NW_MIX1	5	242.3033067	216.9830949	1.116692094
13/06/25	3	NW_MIX1	6	160.2052452	152.5097529	1.050459018
13/06/25	3	NW_MIXR	1	80.72976055	81.54746424	0.989972666
13/06/25	3	NW_MIXR	2	218.4720639	204.5773732	1.067919
13/06/25	3	NW_MIXR	3	210.604333	195.3576073	1.078045211
13/06/25	3	NW_MIXR	4	216.1915621	202.4837451	1.067698358
13/06/25	3	NW_MIXR	5	157.4686431	147.6983095	1.066150612
13/06/25	3	NW_MIXR	6	201.8244014	189.6488947	1.064200251
14/06/25	4	WW_NOI	1	213.9110604	221.9895969	0.963608491
14/06/25	4	WW_NOI	2	276.2827822	247.2041612	1.117629982
14/06/25	4	WW_NOI	3	207.5256556	179.1547464	1.158359797
14/06/25	4	WW_NOI	4	207.2976055	193.8881664	1.069160689
14/06/25	4	WW_NOI	5	249.372862	233.029909	1.070132427
14/06/25	4	WW_NOI	6	308.7799316	356.2418726	0.866770459
14/06/25	4	WW_MIX1	1	243.5575827	235.8127438	1.032843174
14/06/25	4	WW_MIX1	2	210.604333	223.0169051	0.944342461
14/06/25	4	WW_MIX1	3	195.3249715	208.3745124	0.937374582
14/06/25	4	WW_MIX1	4	207.0695553	212.4447334	0.974698464
14/06/25	4	WW_MIX1	5	248.004561	226.7750325	1.093614929
14/06/25	4	WW_MIX1	6	179.4754846	183.2379714	0.979466664
14/06/25	4	WW_MIXR	1	113.6830103	94.56436931	1.202175948
14/06/25	4	WW_MIXR	2	171.949829	146.5149545	1.17359917
14/06/25	4	WW_MIXR	3	272.6339795	249.479844	1.092809644
14/06/25	4	WW_MIXR	4	272.5199544	260.3641092	1.046687868
14/06/25	4	WW_MIXR	5	218.8141391	209.5188557	1.044364902
14/06/25	4	WW_MIXR	6	272.7480046	272.3537061	1.001447744
14/06/25	4	NW_NOI	1	373.6602052	363.0559168	1.029208416
14/06/25	4	NW_NOI	2	190.0798176	175.7347204	1.081629271
14/06/25	4	NW_NOI	3	134.2075257	117.0351105	1.146728748
14/06/25	4	NW_NOI	4	311.5165336	295.0715215	1.055732292
14/06/25	4	NW_NOI	5	287.9133409	292.0416125	0.985864098
14/06/25	4	NW_NOI	6	95.66704675	107.0351105	0.893791264
14/06/25	4	NW_MIX1	1	227.8221209	240.7802341	0.94618282
14/06/25	4	NW_MIX1	2	224.1733181	225.0585176	0.996066803
14/06/25	4	NW_MIX1	3	388.4834664	361.8855657	1.073498098
14/06/25	4	NW_MIX1	4	224.8574686	234.4863459	0.958936299
14/06/25	4	NW_MIX1	5	356.1003421	334.7984395	1.063626051
14/06/25	4	NW_MIX1	6	265.4503991	272.7958388	0.973073491
14/06/25	4	NW_MIXR	1	126.5678449	125.5136541	1.008399013
14/06/25	4	NW_MIXR	2	336.7160775	337.8023407	0.996784323
14/06/25	4	NW_MIXR	3	301.368301	285.6957087	1.05485764
14/06/25	4	NW_MIXR	4	363.2839225	350.5851756	1.036221574
14/06/25	4	NW_MIXR	5	254.3899658	242.6137841	1.048538799
14/06/25	4	NW_MIXR	6	309.6921323	308.2054616	1.004823635
15/06/25	5	WW_NOI	1	344.1847206	345.8647595	0.995142498
15/06/25	5	WW_NOI	2	294.9828963	272.4252276	1.082803156
15/06/25	5	WW_NOI	3	294.0706956	254.3758128	1.156048181
15/06/25	5	WW_NOI	4	266.5336374	229.6488947	1.16061363
15/06/25	5	WW_NOI	5	292.3033067	271.7945384	1.075456882
15/06/25	5	WW_NOI	6	322.4629419	327.4577374	0.984746748
15/06/25	5	WW_MIX1	1	422.576967	421.9895969	1.001391907
15/06/25	5	WW_MIX1	2	318.3010263	306.8595579	1.037285684
15/06/25	5	WW_MIX1	3	288.9965793	290.6436932	0.994332876
15/06/25	5	WW_MIX1	4	312.8848347	318.3680104	0.98277724
15/06/25	5	WW_MIX1	5	269.4412771	252.2756827	1.068043
15/06/25	5	WW_MIX1	6	248.9737743	232.509753	1.070810024
15/06/25	5	WW_MIXR	1	237.0581528	218.0429129	1.087208704
15/06/25	5	WW_MIXR	2	172.4059293	141.8010403	1.215829792
15/06/25	5	WW_MIXR	3	271.5507412	236.1443434	1.149935405
15/06/25	5	WW_MIXR	4	315.7354618	288.5175553	1.09433709
15/06/25	5	WW_MIXR	5	294.5838085	271.983095	1.083096023
15/06/25	5	WW_MIXR	6	276.7958951	260.5136541	1.062500528
15/06/25	5	NW_NOI	1	437.2291904	410.1820547	1.065939344
15/06/25	5	NW_NOI	2	355.4732041	337.8868661	1.052048007
15/06/25	5	NW_NOI	3	242.1892817	222.3537061	1.089207308
15/06/25	5	NW_NOI	4	319.6123147	290.8517556	1.098883911
15/06/25	5	NW_NOI	5	402.622577	379.5383615	1.060821824
15/06/25	5	NW_NOI	6	284.6066135	293.153446	0.970845192
15/06/25	5	NW_MIX1	1	221.949829	228.5045514	0.971314697
15/06/25	5	NW_MIX1	2	304.9600912	311.9700911	0.977529898
15/06/25	5	NW_MIX1	3	435.290764	413.9856957	1.051463296
15/06/25	5	NW_MIX1	4	412.4857469	401.6579974	1.026957635
15/06/25	5	NW_MIX1	5	375.5416192	362.3276983	1.03646953
15/06/25	5	NW_MIX1	6	402.9076397	402.2951886	1.001522392
15/06/25	5	NW_MIXR	1	305.4161916	302.4967491	1.009651153
15/06/25	5	NW_MIXR	2	266.4196123	258.0559168	1.0324104
15/06/25	5	NW_MIXR	3	435.4047891	418.8816645	1.039445805
15/06/25	5	NW_MIXR	4	418.8711517	382.9258778	1.093870057
15/06/25	5	NW_MIXR	5	423.1470924	413.6085826	1.023061682
15/06/25	5	NW_MIXR	6	474.4583808	469.739922	1.010044832
16/06/25	6	WW_NOI	1	313.6830103	297.6462939	1.053878435
16/06/25	6	WW_NOI	2	380.6157355	329.5968791	1.154791685
16/06/25	6	WW_NOI	3	325.7696693	265.4096229	1.227422223
16/06/25	6	WW_NOI	4	335.2337514	310.5591678	1.079452118
16/06/25	6	WW_NOI	5	336.1459521	298.6736021	1.125462544
16/06/25	6	WW_NOI	6	601.5963512	608.1664499	0.989196874
16/06/25	6	WW_MIX1	1	425.9977195	390.7022107	1.090338646
16/06/25	6	WW_MIX1	2	382.668187	372.9128739	1.026159765
16/06/25	6	WW_MIX1	3	418.700114	424.2912874	0.986822323
16/06/25	6	WW_MIX1	4	290.8779932	277.7763329	1.047166222
