date	n_day	regime	inoculant	treatment	shoot_side_area	shoot_height	shootA_rootA
13/06/25	3	NW	NOI	NW_NOI	0	0	0
13/06/25	3	NW	NOI	NW_NOI	0	0	0
13/06/25	3	NW	MIX1	NW_MIX1	0	0	0
13/06/25	3	NW	MIX1	NW_MIX1	0	0	0
13/06/25	3	NW	MIX1	NW_MIX1	0	0	0
13/06/25	3	NW	MIX1	NW_MIX1	0	0	0
13/06/25	3	NW	MIX1	NW_MIX1	0	0	0
13/06/25	3	NW	MIX1	NW_MIX1	0	0	0
13/06/25	3	NW	MIXR	NW_MIXR	0	0	0
13/06/25	3	NW	MIXR	NW_MIXR	0	0	0
13/06/25	3	NW	MIXR	NW_MIXR	0	0	0
13/06/25	3	NW	MIXR	NW_MIXR	0	0	0
13/06/25	3	NW	MIXR	NW_MIXR	0	0	0
13/06/25	3	NW	MIXR	NW_MIXR	0	0	0
14/06/25	4	WW	NOI	WW_NOI	127.0463797	50.109314	1.747311475
14/06/25	4	WW	NOI	WW_NOI	41.29571489	25.95482432	5.986194005
14/06/25	4	WW	NOI	WW_NOI	143.2036102	46.35861685	1.251049091
14/06/25	4	WW	NOI	WW_NOI	85.16394971	45.45844953	2.276646012
14/06/25	4	WW	NOI	WW_NOI	129.979955	43.05800335	1.792814198
14/06/25	4	WW	NOI	WW_NOI	88.41344859	39.45733408	4.029272455
14/06/25	4	WW	MIX1	WW_MIX1	137.5621191	46.95872839	1.714227327
14/06/25	4	WW	MIX1	WW_MIX1	68.78105955	40.65755717	3.242417408
14/06/25	4	WW	MIX1	WW_MIX1	112.3785028	45.90853319	1.854220399
14/06/25	4	WW	MIX1	WW_MIX1	91.86604115	42.4578918	2.312549127
14/06/25	4	WW	MIX1	WW_MIX1	125.9857793	41.55772449	1.800004998
14/06/25	4	WW	MIX1	WW_MIX1	110.6183576	39.15727831	1.656487905
14/06/25	4	WW	MIXR	WW_MIXR	72.5495756	43.65811489	1.303444831
14/06/25	4	WW	MIXR	WW_MIXR	113.3939712	38.85722253	1.292087692
14/06/25	4	WW	MIXR	WW_MIXR	94.52882495	37.35694367	2.639193326
14/06/25	4	WW	MIXR	WW_MIXR	103.9388321	35.40658115	2.504974359
14/06/25	4	WW	MIXR	WW_MIXR	55.62510229	27.00501952	3.766624184
14/06/25	4	WW	MIXR	WW_MIXR	79.6578544	33.30619074	3.419043968
14/06/25	4	NW	NOI	NW_NOI	81.84675294	33.7562744	4.435801099
14/06/25	4	NW	NOI	NW_NOI	30.55431582	20.40379253	5.751551495
