Treatment	FvFm	FvFo	PhiPSII	fSSA	fSH	SER	SSAER	rFW	sFW	rDW	sDW	hTRL	hTRA	hRAE	hRSA
NW_MIX1	0.818235748	4.501631854	0.536479146	422.2566797	353.2623206	0.457112007	0.064335439	0.226	0.32	0.054	0.083	817.1768707	999.6531792	0.817460383	0.643513635
NW_MIX1	0.800124374	4.003111281	0.64850875	79.35863607	49.46790407	0.3491074	0.054016132	0.482	0.316333333	0.078	0.086	977.6360544	1186.223507	0.795913984	1.123033464
NW_MIX1	0.773041951	3.406100613	0.577157362	191.9916609	129.6785734	0.517002591	0.076090804	0.221	0.353	0.044	0.088	840.3061224	1065.924855	0.788335236	0.794703676
NW_MIX1	0.785815151	3.696070264	0.603126808	478.651301	420.0579651	0.501353297	0.078211493	0.202	0.2	0.041	0.077	904.7619048	1053.728324	0.7826407	0.546461852
NW_MIX1	0.801858088	4.0468878	0.656215065	860.291356	392.3894763	0.532666283	0.080623086	0.193	0.257666667	0.034	0.078	828.7414966	958.034682	0.770860003	1.095670913
NW_MIX1	0.782545415	3.635222379	0.576007997	1615.291923	289.5409526	0.464006006	0.070333948	0.2	0.22	0.056	0.083857143	942.1768708	754.4508671	0.72833079	0.667239734
NW_MIXR	0.811010802	4.291307698	0.651842745	1274.346602	335.0961411	0.590742874	0.128440616	0.574	0.91	0.059	0.149	828.4013605	918.2369942	0.90216509	1.289726507
NW_MIXR	0.815989556	4.434474139	0.651308322	1349.877902	327.5501896	0.559530665	0.120976803	0.6	0.758	0.072	0.115	1096.768707	1369.566474	0.800814512	3.637018392
NW_MIXR	0.81384708	4.085631118	0.650228758	1553.429679	388.1972811	0.582781457	0.12512983	0.707	0.669	0.058	0.128	1212.07483	1533.092486	0.790607769	3.630712215
NW_MIXR	0.81517339	4.410476337	0.660666283	1198.112322	377.2975734	0.553829542	0.122725624	0.505	0.814	0.084	0.134	981.462585	1248.265896	0.851489801	2.852485705
NW_MIXR	0.809906963	4.260581955	0.628700324	1341.285924	333.6987427	0.555960265	0.123922186	0.627	0.655	0.024	0.107	1223.129252	1398.410405	0.874656859	1.440367983
NW_MIXR	0.816795621	4.458384825	0.641875921	1928.27426	346.2753285	0.569277282	0.126502167	0.553333333	0.748	0.044	0.109	686.0544218	890.9248555	0.832632314	1.861323375
NW_MIXR	0.812597809	4.336116914	0.643792589	1263.801901	336.2140599	0.574057011	0.134740189	0.582	0.934	0.059	0.144	1063.435374	1246.156069	0.853372543	1.448527943
NW_MIXR	0.81545542	4.418744877	0.632938881	1130.704346	337.3319786	0.594062359	0.135237741	0.573	0.696	0.077	0.109	1268.537415	1633.468208	0.877768817	1.011252632
